"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"Salzburg-intermediate",3,10,6,8,11,5,5,8,12,4,12,3,6,6,9,9,4,6,8,8,3,4,1,5,5,8,11,7,4,4,4,1,1,2,4,5,9,8,3,2,6,3,2,4,2,3,2,4,2,7,3,0,5,22,4,2,3,13,6,5,3,5,4,2,4,7,4,1,4,6,7,2,1,4,4,3,1,5,5,1,2,3,5,8,0,6,4,3,3,1,3,4,4,2,6,3,2,3,3,1,7,6,4,2
"Steiermark-intermediate",5,11,14,9,7,8,16,7,8,8,7,10,6,6,9,8,4,10,12,7,10,5,7,10,8,3,8,7,10,5,10,8,8,9,6,6,4,12,7,7,7,8,6,4,4,8,12,9,8,4,14,1,0,10,6,6,11,5,5,7,6,6,8,6,7,6,4,8,8,6,5,5,4,2,7,5,3,8,2,6,4,5,10,7,7,2,8,7,7,9,8,12,5,4,18,4,15,10,6,7,9,6,3,0
"Tirol-intermediate",10,11,18,4,14,16,9,11,18,12,11,13,17,16,6,10,5,10,2,6,7,3,6,10,9,4,11,6,8,4,8,12,3,4,7,2,8,5,13,7,11,5,5,6,4,6,9,8,5,11,14,4,5,7,3,10,6,7,10,10,11,11,8,4,4,14,7,10,6,8,5,7,10,4,8,9,4,9,8,4,14,0,8,5,6,6,11,5,0,9,10,7,3,9,7,6,6,8,6,6,10,8,6,1
"Vorarlberg-intermediate",17,18,12,8,18,10,7,6,11,13,10,13,10,11,10,12,10,6,3,6,13,9,7,6,12,7,10,5,4,8,6,6,6,7,7,11,8,11,7,10,7,11,7,8,8,6,12,5,9,7,11,0,7,18,11,10,12,6,4,10,5,8,5,7,6,6,9,7,3,3,8,18,8,9,7,7,6,9,13,11,8,7,6,8,5,7,10,2,10,7,8,6,9,10,6,9,6,6,13,11,5,15,6,2
"Burgenland-rural",7,6,8,7,15,5,3,8,4,0,5,2,2,6,7,7,8,8,10,7,5,4,5,2,3,20,6,5,3,6,4,4,2,4,7,5,2,9,2,8,9,3,2,2,6,7,2,7,9,7,2,3,2,3,14,4,4,6,4,3,14,10,5,3,1,10,6,2,2,3,5,5,4,4,8,9,2,6,2,6,4,0,7,6,5,5,6,8,7,6,4,3,7,5,3,9,6,3,8,2,4,4,9,0
"Kärnten-rural",5,8,7,7,8,12,8,9,13,7,17,6,10,13,8,20,9,11,9,4,11,6,8,9,4,15,8,5,7,4,13,4,5,6,10,10,4,11,6,8,8,6,5,6,8,1,11,6,3,8,9,3,11,13,4,9,11,13,6,13,4,9,2,10,11,10,12,9,8,10,6,11,7,11,13,9,1,10,10,10,5,6,7,8,6,6,4,8,11,7,13,5,4,7,8,3,10,8,6,3,14,5,5,1
"Niederösterreich-rural",6,17,16,7,16,13,21,19,20,14,23,11,7,15,8,13,11,10,14,16,9,24,12,12,11,7,10,9,15,9,9,3,4,11,9,11,7,13,8,7,6,12,16,4,10,16,7,9,7,11,9,3,3,9,17,6,10,5,10,7,4,12,8,10,12,5,13,6,13,13,8,8,8,6,6,10,6,15,12,13,9,2,7,11,10,7,14,10,7,11,4,19,11,12,7,2,3,11,6,6,9,8,10,3
"Oberösterreich-rural",10,21,19,10,11,16,13,11,21,12,21,25,17,12,7,8,12,10,10,16,13,7,14,18,17,14,16,9,8,6,14,8,6,11,15,12,13,16,13,9,12,6,13,7,16,15,10,8,5,10,16,2,4,16,21,9,28,12,6,13,20,12,11,8,12,9,10,16,11,17,6,6,7,9,11,9,5,16,14,8,15,12,9,12,4,8,13,14,8,3,8,15,9,13,10,9,9,8,15,12,11,9,7,1
"Salzburg-rural",8,9,3,8,9,5,7,10,7,3,9,4,9,6,3,6,8,4,0,3,8,3,6,8,6,7,6,3,5,5,6,6,4,7,9,4,2,5,8,7,9,6,4,9,5,12,9,9,7,6,7,0,5,46,4,7,12,10,6,6,6,10,8,6,7,9,5,4,6,6,4,5,4,7,3,10,9,6,11,13,9,10,5,3,3,4,6,8,6,2,11,7,3,11,7,3,13,2,1,6,6,8,5,1
"Steiermark-rural",6,7,11,8,11,8,15,6,12,4,11,7,4,8,8,9,4,3,6,7,7,10,6,9,12,10,6,3,7,19,5,8,8,7,9,8,5,8,12,6,15,12,6,11,9,8,13,8,6,15,11,4,5,14,10,3,8,6,5,14,6,9,5,7,3,6,7,7,7,4,8,5,2,3,6,8,4,13,4,8,7,3,5,5,4,8,6,4,8,4,10,7,7,8,9,1,17,6,9,6,10,5,6,3
"Tirol-rural",8,12,20,13,16,7,10,14,9,12,17,13,15,12,6,12,5,18,15,6,18,10,6,14,9,10,15,10,9,10,4,10,10,6,7,9,8,10,19,10,13,14,16,6,13,16,8,8,10,11,14,1,10,21,12,6,14,19,5,12,8,17,7,8,9,8,14,14,11,9,10,13,13,18,12,9,7,15,14,10,5,10,4,6,4,8,9,8,11,7,10,13,9,15,12,4,7,14,10,9,5,8,13,4
"Vorarlberg-rural",1,1,4,6,5,2,3,2,1,2,5,1,1,2,1,0,2,3,1,2,3,2,1,2,4,1,3,3,1,0,1,1,0,2,4,1,4,2,3,10,3,5,1,4,7,2,3,2,3,3,6,3,1,3,1,5,4,5,2,0,1,2,2,1,2,2,0,1,1,0,2,2,1,1,4,3,2,6,5,1,2,0,3,3,2,0,2,1,3,4,2,0,2,0,2,0,3,2,2,1,0,2,4,0
