"","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2023-13","2023-14","2023-15","2023-16","2023-17","2023-18","2023-19","2023-20","2023-21","2023-22","2023-23","2023-24","2023-25","2023-26","2023-27","2023-28","2023-29","2023-30","2023-31","2023-32","2023-33","2023-34","2023-35","2023-36","2023-37","2023-38","2023-39","2023-40","2023-41","2023-42","2023-43","2023-44","2023-45","2023-46","2023-47","2023-48","2023-49","2023-50","2023-51","2023-52","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2024-13","2024-14","2024-15","2024-16","2024-17","2024-18","2024-19","2024-20","2024-21","2024-22","2024-23","2024-24","2024-25","2024-26","2024-27","2024-28","2024-29","2024-30","2024-31","2024-32","2024-33","2024-34","2024-35","2024-36","2024-37","2024-38","2024-39","2024-40","2024-41","2024-42","2024-43","2024-44","2024-45","2024-46","2024-47","2024-48","2024-49","2024-50","2024-51","2024-52"
"66",11,14,16,5,6,11,10,17,7,6,21,9,20,6,8,11,1,9,9,9,7,7,5,8,10,9,5,3,7,10,11,11,1,3,8,5,6,7,6,6,1,7,7,12,14,7,10,7,6,10,10,6,7,8,7,8,10,7,8,9,6,7,4,4,7,7,6,10,7,3,7,7,10,11,6,4,0,14,17,15,9,9,6,9,7,11,6,6,5,7,6,6,16,14,4,11,7,10,14,9,11,9,6,5
"67",5,7,6,10,7,4,5,5,10,11,21,21,15,9,8,9,10,6,10,7,5,11,5,10,10,9,8,5,8,3,5,8,9,5,7,7,13,6,6,7,4,8,13,7,11,4,7,9,5,5,9,6,10,14,6,7,5,7,6,13,10,9,7,7,4,11,5,5,12,10,5,6,9,8,7,6,0,13,15,22,7,10,5,8,3,10,5,7,13,3,8,8,12,20,11,7,5,13,7,6,6,7,13,8
"68",4,6,7,6,7,5,6,11,5,5,24,16,11,13,6,10,7,11,7,8,8,9,4,14,9,11,12,7,4,3,5,14,8,7,7,6,5,2,13,11,6,13,8,6,11,6,8,11,9,12,5,2,12,10,7,5,6,9,7,14,6,2,7,7,8,3,4,9,10,5,9,5,7,4,5,7,0,15,10,19,5,3,7,6,5,7,3,10,8,7,9,11,9,15,10,6,12,11,9,6,4,8,7,6
"69",9,4,4,5,3,8,5,8,11,5,24,18,8,8,7,10,9,5,4,9,4,9,5,7,4,5,5,4,11,7,5,7,5,11,7,8,9,5,4,5,3,8,5,5,6,5,7,4,8,6,3,5,7,10,11,4,12,5,2,7,3,11,5,15,11,5,10,8,11,5,5,7,10,5,5,10,0,11,3,14,12,6,6,7,4,8,9,10,9,4,10,6,4,10,3,4,9,8,8,8,14,9,10,2
"70",4,8,10,4,4,4,11,9,8,2,44,11,7,12,2,7,14,8,9,7,5,12,8,6,13,10,6,3,8,8,6,7,7,4,5,9,4,6,10,14,7,7,10,5,8,7,3,6,7,10,7,8,5,5,7,6,13,10,4,4,5,9,8,8,5,4,10,5,4,5,5,9,10,6,4,8,1,14,7,11,8,7,9,3,5,5,7,3,7,4,8,8,10,8,9,13,6,7,6,16,10,7,5,7
"71",5,3,5,2,4,6,4,3,5,7,29,8,5,8,5,10,8,7,13,8,9,5,7,10,6,4,6,4,10,8,2,2,3,5,8,8,9,6,7,7,4,4,7,17,10,7,4,2,11,3,6,3,6,4,11,3,4,9,6,7,6,4,2,10,2,7,6,6,4,10,4,1,3,7,9,7,0,9,5,12,5,5,3,4,7,7,6,8,5,8,9,8,12,10,6,5,10,4,8,10,9,5,5,4
"72",1,8,6,6,4,6,10,13,8,6,58,19,2,6,3,7,8,10,3,5,7,1,12,6,11,4,8,5,6,4,2,9,5,3,5,9,4,8,3,2,5,6,7,2,10,7,7,13,3,7,8,4,8,6,6,7,3,6,8,8,2,6,5,3,2,6,5,6,6,9,1,7,10,7,10,2,0,17,12,17,8,4,8,8,3,8,13,5,6,7,9,9,6,3,7,8,16,6,10,13,6,2,3,5
"73",4,4,7,5,5,5,6,7,7,5,46,11,14,4,5,10,7,6,5,8,8,2,4,3,12,14,3,14,10,4,11,4,4,4,8,5,6,7,10,6,8,6,9,7,9,5,7,4,4,6,6,2,4,7,7,9,8,12,3,6,10,7,5,7,8,3,7,9,5,5,10,4,6,5,5,10,0,16,12,8,5,4,8,7,4,5,6,7,0,13,7,8,8,10,7,7,14,5,7,8,5,6,9,2
"74",1,7,11,0,13,3,3,9,2,6,45,17,8,3,6,5,4,7,4,4,4,7,8,4,10,19,3,17,3,3,5,4,2,6,6,1,4,1,11,6,8,4,5,4,7,5,5,4,8,15,3,0,3,8,3,0,6,8,8,8,6,9,7,2,4,5,5,6,2,1,5,1,9,4,9,10,1,12,8,14,6,4,7,6,4,7,1,5,9,9,3,5,9,5,9,9,8,6,8,10,4,5,3,5
"75",3,4,5,8,11,2,2,5,4,2,48,13,2,6,3,4,5,12,10,7,6,2,8,9,5,25,5,15,5,5,5,2,2,2,1,4,7,2,5,6,6,5,5,6,11,3,4,7,0,3,3,2,4,8,5,3,7,5,7,3,3,4,5,4,4,2,7,4,5,6,5,10,5,7,6,6,0,15,8,14,5,6,8,6,2,5,10,7,9,4,4,14,9,6,6,6,9,9,4,8,5,6,7,1
